,cast,directors,genres,movie_id,original_title,plot,writers
1364,"['Jennifer Aniston', 'Jason Bateman', 'Charlie Day']",,"['Comedy', 'Crime']",51540,Horrible Bosses,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently. ",
1365,"['Jeff Bridges', 'Matt Damon', 'Josh Brolin']",,"['Drama', 'Adventure', 'Western']",44264,True Grit,"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested. ",
1366,"['Meryl Streep', 'Anne Hathaway', 'Emily Blunt']",,"['Comedy', 'Drama', 'Romance']",350,The Devil Wears Prada,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist. ,
1367,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']",,"['Science Fiction', 'Adventure', 'Mystery']",152,Star Trek: The Motion Picture,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it. ",
1368,"['Jason Bateman', 'Melissa McCarthy', 'Jon Favreau']",,"['Comedy', 'Crime']",109431,Identity Thief,"When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman. ",
1369,"['Robert De Niro', 'Nick Nolte', 'Jessica Lange']",,"['Crime', 'Thriller']",1598,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss. ",
1370,"['Jim Sturgess', 'Kevin Spacey', 'Kate Bosworth']",,"['Drama', 'Crime']",8065,21,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack. ",
1371,"['Amy Schumer', 'Bill Hader', 'Brie Larson']",,['Comedy'],271718,Trainwreck,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy. ",
1372,"['Bernie Mac', 'Ashton Kutcher', 'Zoe Saldana']",,"['Comedy', 'Romance']",11638,Guess Who,"The fiancé of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law. ",
1373,"['Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe']",,"['Drama', 'Romance', 'War']",409,The English Patient,"Beginning in the 1930s, ""The English Patient"" tells the story of Count Almásy who is a Hungarian map maker employed by the Royal Geographical Society to chart the vast expanses of the Sahara Desert along with several other prominent explorers. As World War II unfolds, Almásy enters into a world of love, betrayal, and politics that is later revealed in a series of flashbacks while Almásy is on his death bed after being horribly burned in a plane crash. ",
1374,"['Kevin Spacey', 'Guy Pearce', 'Danny DeVito']",,"['Crime', 'Drama', 'Mystery']",2118,L.A. Confidential,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner. ,
1375,"['Michael Angarano', 'Kurt Russell', 'Kelly Preston']",,"['Adventure', 'Comedy', 'Family']",11459,Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being. ",
1376,"['Kevin Kline', 'Joan Cusack', 'Tom Selleck']",,"['Comedy', 'Romance']",10806,In & Out,A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards. ,
1377,"['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen']",,"['Science Fiction', 'Horror', 'Action']",9348,Species,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye. ",
1378,"['John Saxon', 'Ronee Blakley', 'Heather Langenkamp']",,['Horror'],377,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson (Heather Langenkamp) traces the cause to child molester Fred Krueger (Robert Englund), who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen (Johnny Depp), must devise a plan to lure the monster out of the realm of nightmares and into the real world... ",
1379,"['Jennifer Lopez', ""Vincent D'Onofrio"", 'Vince Vaughn']",,"['Horror', 'Science Fiction', 'Thriller']",8843,The Cell,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim. ,
1380,"['Leonardo DiCaprio', 'Jeremy Irons', 'Gérard Depardieu']",,"['Action', 'Adventure', 'Drama']",9313,The Man in the Iron Mask,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe. ",
1381,"['Diane Lane', 'John Malkovich', 'Scott Glenn']",,['Drama'],39486,Secretariat,"Housewife and mother Penny Chenery agrees to take over her ailing father's Virginia-based Meadow Stables, despite her lack of horse-racing knowledge. Against all odds, Chenery - with the help of veteran trainer Lucien Laurin - manages to navigate the male-dominated business, ultimately fostering the first Triple Crown winner in 25 years. ",
1382,"['Chris Evans', 'Sarah Michelle Gellar', 'Mako']",,"['Adventure', 'Animation', 'Comedy']",1273,TMNT,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City. ",
1383,"['Cuba Gooding Jr.', 'Ed Harris', 'Alfre Woodard']",,['Drama'],13920,Radio,"High school football coach, Harold Jones befriends Radio, a mentally-challenged man who becomes a student at T.L. Hanna High School in Anderson, South Carolina. Their friendship extends over several decades, where Radio transforms from a shy, tormented man into an inspiration to his community. ",
1384,"['Justin Timberlake', 'Mila Kunis', 'Patricia Clarkson']",,"['Romance', 'Comedy']",50544,Friends with Benefits,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship. ",
1385,"['Seth Rogen', 'Rose Byrne', 'Zac Efron']",,['Comedy'],325133,Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters. ,
1386,"['Emma Thompson', 'Tom Hanks', 'Paul Giamatti']",,"['Comedy', 'Drama', 'History']",140823,Saving Mr. Banks,Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen. ,
1387,"['Denzel Washington', 'Angela Bassett', 'Albert Hall']",,"['Drama', 'History']",1883,Malcolm X,The biopic of the controversial and influential Black Nationalist leader. ,
1388,"['Paul Rudd', 'Leslie Mann', 'Jason Segel']",,['Comedy'],89492,This Is 40,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart. ",
1389,"['Robin Williams', 'John Travolta', 'Seth Green']",,"['Comedy', 'Family']",22949,Old Dogs,"Charlie and Dan have been best friends and business partners for thirty years; their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract, Dan gets a surprise: a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins, now seven, and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes, although he's up tight and clueless. With Charlie's help is there any way they can be dad and uncle, meet the kids' expectations, and still land the account? ",
1390,"['Bill Nighy', 'Michael Sheen', 'Rhona Mitra']",,"['Fantasy', 'Action', 'Adventure']",12437,Underworld: Rise of the Lycans,"A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence. ",
1391,"['Robin Williams', 'Mandy Moore', 'John Krasinski']",,['Comedy'],2959,License to Wed,"Newly engaged, Ben and Sadie can't wait to start their life together and live happily ever after. However Sadie's family church's Reverend Frank won't bless their union until they pass his patented, ""foolproof"" marriage prep course consisting of outrageous classes, outlandish homework assignments and some outright invasion of privacy. ",
1392,"['Jon Heder', 'Rob Schneider', 'David Spade']",,['Comedy'],9957,The Benchwarmers,A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard little league squads. ,
1393,"['Diane Lane', 'John Cusack', 'Elizabeth Perkins']",,"['Comedy', 'Romance']",11648,Must Love Dogs,"Sarah Nolan is a newly divorced woman cautiously rediscovering romance with the enthusiastic but often misguided help of her well-meaning family. As she braves a series of hilarious disastrous mismatches and first dates, Sarah begins to trust her own instincts again and learns that, no matter what, it's never a good idea to give up on love. ",
1394,"['Johnny Depp', 'Al Pacino', 'Michael Madsen']",,"['Crime', 'Drama', 'Thriller']",9366,Donnie Brasco,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one. ,
1395,"['Milla Jovovich', 'Michelle Rodriguez', 'Eric Mabius']",,"['Horror', 'Action', 'Science Fiction']",1576,Resident Evil,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world. ",
1396,"['Craig T. Nelson', 'JoBeth Williams', 'Beatrice Straight']",,['Horror'],609,Poltergeist,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late. ",
1397,"['Tom Hanks', 'Irma P. Hall', 'Marlon Wayans']",,"['Comedy', 'Crime', 'Thriller']",5516,The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman. ",
1398,"['Mark Wahlberg', 'Mila Kunis', 'Beau Bridges']",,['Action'],13051,Max Payne,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation. ",
1399,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy']",,"['Action', 'Thriller', 'Science Fiction']",49530,In Time,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'. ",
1400,"['Jennifer Lopez', ""Alex O'Loughlin"", 'Danneel Ackles']",,"['Comedy', 'Romance']",34806,The Back-Up Plan,"When Zoe tires of looking for Mr. Right, she decides to have a baby on her own. But on the day she's artificially inseminated, she meets Stan, who seems to be just who she's been searching for all her life. Now, Zoe has to figure out how to make her two life's dreams fit with each other. ",
1401,"['Kate Hudson', 'Ginnifer Goodwin', 'John Krasinski']",,"['Comedy', 'Drama', 'Romance']",49022,Something Borrowed,"Though Rachel (Ginnifer Goodwin) is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy (Kate Hudson). Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan (John Krasinski), Rachel's confidant, harbors a potentially explosive secret of his own. ",
1402,"['Martin Lawrence', 'Marsha Thomason', 'Tom Wilkinson']",,"['Adventure', 'Comedy', 'Fantasy']",11469,Black Knight,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England. ",
1403,"['Walter Matthau', ""Tatum O'Neal"", 'Ben Piazza']",,"['Comedy', 'Family']",23479,The Bad News Bears,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league. ",
1404,"['Jean-Claude Van Damme', 'Raúl Juliá', 'Ming-Na Wen']",,"['Action', 'Adventure', 'Thriller']",11667,Street Fighter,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts. ,
1405,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",,"['Drama', 'War']",423,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski. ,
1406,"['Keisha Castle-Hughes', 'Oscar Isaac', 'Hiam Abbass']",,"['Drama', 'History']",2447,The Nativity Story,"Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village, where they find shelter in a quiet manger and Jesus is born. ",
1407,"['Elisha Cuthbert', 'Paris Hilton', 'Brian Van Holt']",,['Horror'],10066,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit. ,
1408,"['Julia Roberts', 'Jude Law', 'Natalie Portman']",,"['Drama', 'Romance']",2288,Closer,"A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other. ",
1409,"['Leonardo DiCaprio', 'Josh Hamilton', 'Geoff Pierson']",,"['Drama', 'Crime', 'History']",88794,J. Edgar,"As the face of law enforcement in America for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career and his life. ",
1410,"['Kiefer Sutherland', 'Paula Patton', 'Amy Smart']",,"['Horror', 'Mystery', 'Thriller']",13515,Mirrors,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home. ,
1411,"['Stuart Townsend', 'Aaliyah', 'Marguerite Moreau']",,"['Drama', 'Fantasy', 'Horror']",11979,Queen of the Damned,"Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time, another has arisen, Akasha, the Queen of the Vampires and the Dammed. He want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the Queen want's him for her King. Who will be the first to reach him? Who shall win? ",
1412,"['Kevin Peter Hall', 'Danny Glover', 'Gary Busey']",,"['Science Fiction', 'Action', 'Thriller']",169,Predator 2,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away. ",
1413,"['Diane Lane', 'Billy Burke', 'Colin Hanks']",,['Drama'],8090,Untraceable,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out. ",
1414,"['Brendan Fraser', 'Alicia Silverstone', 'Christopher Walken']",,"['Comedy', 'Romance']",11622,Blast from the Past,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself. ",
1415,"['Sam J. Jones', 'Melody Anderson', 'Max von Sydow']",,['Science Fiction'],3604,Flash Gordon,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth. ",
1416,"['Ben Affleck', 'Raquel Castro', 'Liv Tyler']",,"['Comedy', 'Romance']",9541,Jersey Girl,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter. ",
1417,"['Tyler Perry', 'Rachel Nichols', 'Jean Reno']",,"['Action', 'Thriller', 'Crime']",94348,Alex Cross,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem. ",
1418,"['John Cusack', 'Kevin Spacey', 'Jude Law']",,"['Crime', 'Drama', 'Mystery']",8197,Midnight in the Garden of Good and Evil,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends. ",
1419,"['Jeffrey Dean Morgan', 'Robert De Niro', 'Kate Bosworth']",,"['Crime', 'Action', 'Thriller']",336004,Heist,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus. ",
1420,"['Emma Thompson', 'Asa Butterfield', 'Ralph Fiennes']",,"['Comedy', 'Fantasy']",35019,Nanny McPhee and the Big Bang,"Nanny McPhee appears at the door of a harried young mother, Mrs. Isabel Green, who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons. ",
1421,"['Jack Nicholson', 'Danny DeVito', 'Armand Assante']",,"['Crime', 'History']",10410,Hoffa,"Jack Nicholson's portrait of union leader James R. Hoffa, as seen through the eyes of his friend, Bobby Ciaro (Danny DeVito). The film follows Hoffa through his countless battles with the RTA and President Roosevelt all the way to a conclusion that negates the theory that he disappeared in 1975. ",
1422,"['David Duchovny', 'Gillian Anderson', 'Amanda Peet']",,"['Drama', 'Mystery', 'Science Fiction']",8836,The X Files: I Want to Believe,"Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent. ",
1423,"['Anne Hathaway', 'Hugh Dancy', 'Cary Elwes']",,"['Family', 'Fantasy', 'Comedy']",14442,Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom. ",
1424,"['Will Smith', 'Alec Baldwin', 'Albert Brooks']",,['Drama'],321741,Concussion,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world. ",
1425,"['Taylor Lautner', 'Lily Collins', 'Alfred Molina']",,"['Thriller', 'Action', 'Mystery']",59965,Abduction,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website. ,
1426,"['Ewan McGregor', 'Ricky Gervais', 'Tim Curry']",,"['Animation', 'Family', 'Adventure']",14175,Valiant,"The animated comedy tells the story of a lowly wood pigeon named Valiant, who overcomes his small size to become a hero in Great Britain's Royal Air Force Homing Pigeon Service during World War II. The RHPS advanced the Allied cause by flying vital messages about enemy movements across the English Channel, whilst evading brutal attacks by the enemy's Falcon Brigade. ",
1427,"['Michael Douglas', 'Tobey Maguire', 'Frances McDormand']",,"['Comedy', 'Drama']",11004,Wonder Boys,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author. ",
1428,"['Drake Bell', 'Sara Paxton', 'Leslie Nielsen']",,"['Action', 'Comedy', 'Science Fiction']",11918,Superhero Movie,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass. ",
1429,"['Mark Wahlberg', 'Russell Crowe', 'Catherine Zeta-Jones']",,"['Thriller', 'Crime', 'Drama']",98357,Broken City,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare. ",
1430,"['Portia de Rossi', 'Christina Ricci', 'Jesse Eisenberg']",,"['Horror', 'Comedy']",10012,Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too. ",
1431,"['Joseph Gordon-Levitt', 'Michael Shannon', 'Dania Ramirez']",,"['Crime', 'Action', 'Thriller']",49526,Premium Rush,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city. ",
1432,"['Reese Witherspoon', 'Sofía Vergara', 'Michael Mosley']",,"['Action', 'Comedy', 'Crime']",268920,Hot Pursuit,An uptight by-the-book cop must protect the widow of a drug boss from crooked cops and gunmen. ,
1433,"['Heath Ledger', 'Wes Bentley', 'Kate Hudson']",,"['War', 'Adventure', 'Drama']",9093,The Four Feathers,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward. ",
1434,"['Jason Statham', 'Jennifer Lopez', 'Nick Nolte']",,"['Action', 'Crime']",119283,Parker,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist. ",
1435,"['Kirsten Dunst', 'Paul Bettany', 'Sam Neill']",,"['Comedy', 'Romance']",11823,Wimbledon,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon. ",
1436,"['Brendan Fraser', 'Ken Jeong', 'Brooke Shields']",,['Comedy'],35169,Furry Vengeance,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits? ",
1437,"['Sharni Vinson', 'Phoebe Tonkin', 'Julian McMahon']",,"['Action', 'Horror', 'Thriller']",118957,Bait,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark. ,
1438,"['Ken Marshall', 'Lysette Anthony', 'Francesca Annis']",,"['Fantasy', 'Action', 'Adventure']",849,Krull,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet. ,
1439,"['Robert Redford', 'Meryl Streep', 'Tom Cruise']",,"['Action', 'Adventure', 'Drama']",4515,Lions for Lambs,"Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter, detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage. ",
1440,"['Danny Glover', 'Willem Dafoe', 'Brad Johnson']",,"['Action', 'Adventure', 'Drama']",18886,Flight of the Intruder,"U.S. Navy pilot Lt. Jake Grafton and his bombardier buddy, Lt. Cmdr. Virgil Cole, are two soldiers embedded in the Vietnam War growing frustrated by the military's constraints on their missions. Despite the best efforts of their commanding officer, Cmdr. Frank Camparelli, to re-engage them, this disillusioned pair decide to take the war effort into their own hands with an explosive battle plan that could well get them court-martialed. ",
1441,"['John C. Reilly', 'Jenna Fischer', 'Tim Meadows']",,"['Comedy', 'Music']",6575,Walk Hard: The Dewey Cox Story,Singer Dewey Cox overcomes adversity to become a musical legend. ,
1442,"['Kevin Spacey', 'Julianne Moore', 'Cate Blanchett']",,"['Drama', 'Romance']",6440,The Shipping News,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life. ,
1443,"['Colin Farrell', 'Scott Caan', 'Ali Larter']",,"['Action', 'Western']",13496,American Outlaws,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jessie James. ",
1444,"['Emily Blunt', 'Jim Broadbent', 'Mark Strong']",,"['Drama', 'History', 'Romance']",18320,The Young Victoria,"From Academy Award® winners Graham King and Martin Scorsese, along with the makers of Gosford Park and The Departed, comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert, Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama, romance, breath-taking cinematography, lavish costumes and featuring an outstanding British cast including Jim Broadbent, Harriet Walter, Mark Strong, Paul Bettany, Miranda Richardson, and Rupert Friend, The Young Victoria has captivated British audiences, and is the film that Company magazine called “an epic British film, which will sweep you up in her remarkable story.” ",
1445,"['Kate Beckinsale', 'Gabriel Macht', 'Tom Skerritt']",,"['Action', 'Crime', 'Mystery']",22787,Whiteout,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life. ",
1446,"['Brad Pitt', 'Sean Penn', 'Jessica Chastain']",,"['Drama', 'Fantasy']",8967,The Tree of Life,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith. ",
